t,ztfg,ztfr,ztfi,sim_id,num_detections,batch_id
44240.0,22.0,22.0,22.0,0,15,0
44241.0,22.0,22.0,22.0,0,15,0
44242.0,22.0,22.0,22.0,0,15,0
44243.0,22.0,22.0,22.0,0,15,0
44244.0,22.0,22.0,22.0,0,15,0
44244.669158107776,22.0,22.0,22.0,0,15,0
44245.669158107776,22.0,22.0,22.0,0,15,0
44246.669158107776,22.0,22.0,22.0,0,15,0
44247.669158107776,19.64872701964957,19.543421382798687,19.874332773107188,0,15,0
44248.669158107776,20.033158599677076,19.387133356890775,19.46967335912606,0,15,0
44249.669158107776,21.40551292158424,19.734857597549446,19.437758031096482,0,15,0
44250.669158107776,22.0,20.50493689741113,19.99066268554259,0,15,0
44251.669158107776,22.0,21.24183008522094,20.379196613269073,0,15,0
44252.669158107776,22.0,22.0,21.251419263810714,0,15,0
44253.669158107776,22.0,22.0,21.400157201122376,0,15,0
44254.669158107776,22.0,22.0,22.0,0,15,0
44255.669158107776,22.0,22.0,22.0,0,15,0
44256.669158107776,22.0,22.0,22.0,0,15,0
44257.669158107776,22.0,22.0,22.0,0,15,0
44258.669158107776,22.0,22.0,22.0,0,15,0
44259.669158107776,22.0,22.0,22.0,0,15,0
44260.669158107776,22.0,22.0,22.0,0,15,0
44261.669158107776,22.0,22.0,22.0,0,15,0
44262.669158107776,22.0,22.0,22.0,0,15,0
44263.669158107776,22.0,22.0,22.0,0,15,0
44264.669158107776,22.0,22.0,22.0,0,15,0
44265.669158107776,22.0,22.0,22.0,0,15,0
44266.669158107776,22.0,22.0,22.0,0,15,0
44267.0,22.0,22.0,22.0,0,15,0
44268.0,22.0,22.0,22.0,0,15,0
44269.0,22.0,22.0,22.0,0,15,0
44270.0,22.0,22.0,22.0,0,15,0
44271.0,22.0,22.0,22.0,0,15,0
44240.0,22.0,22.0,22.0,1,6,0
44241.0,22.0,22.0,22.0,1,6,0
44242.0,22.0,22.0,22.0,1,6,0
44243.0,22.0,22.0,22.0,1,6,0
44244.0,22.0,22.0,22.0,1,6,0
44244.74659280517,22.0,22.0,22.0,1,6,0
44245.74659280517,22.0,22.0,22.0,1,6,0
44246.74659280517,22.0,22.0,22.0,1,6,0
44247.74659280517,22.04911388017147,21.448344685492184,22.0,1,6,0
44248.74659280517,22.0,21.39239679055675,21.260383848368274,1,6,0
44249.74659280517,22.0,21.762747549105658,21.507379814817465,1,6,0
44250.74659280517,22.0,22.0,21.63631918052511,1,6,0
44251.74659280517,22.0,22.0,22.0,1,6,0
44252.74659280517,22.0,22.0,22.0,1,6,0
44253.74659280517,22.0,22.0,22.0,1,6,0
44254.74659280517,22.0,22.0,22.0,1,6,0
44255.74659280517,22.0,22.0,22.0,1,6,0
44256.74659280517,22.0,22.0,22.0,1,6,0
44257.74659280517,22.0,22.0,22.0,1,6,0
44258.74659280517,22.0,22.0,22.0,1,6,0
44259.74659280517,22.0,22.0,22.0,1,6,0
44260.74659280517,22.0,22.0,22.0,1,6,0
44261.74659280517,22.0,22.0,22.0,1,6,0
44262.74659280517,22.0,22.0,22.0,1,6,0
44263.74659280517,22.0,22.0,22.0,1,6,0
44264.74659280517,22.0,22.0,22.0,1,6,0
44265.74659280517,22.0,22.0,22.0,1,6,0
44266.74659280517,22.0,22.0,22.0,1,6,0
44267.0,22.0,22.0,22.0,1,6,0
44268.0,22.0,22.0,22.0,1,6,0
44269.0,22.0,22.0,22.0,1,6,0
44270.0,22.0,22.0,22.0,1,6,0
44271.0,22.0,22.0,22.0,1,6,0
44240.0,22.0,22.0,22.0,2,11,0
44241.0,22.0,22.0,22.0,2,11,0
44242.0,22.0,22.0,22.0,2,11,0
44243.0,22.0,22.0,22.0,2,11,0
44244.0,22.0,22.0,22.0,2,11,0
44245.0,22.0,22.0,22.0,2,11,0
44245.184685326945,22.0,22.0,22.0,2,11,0
44246.184685326945,22.0,22.0,22.0,2,11,0
44247.184685326945,22.0,22.0,22.0,2,11,0
44248.184685326945,20.70785260896145,20.55974369497805,21.727210000219795,2,11,0
44249.184685326945,21.8385734341966,20.49866488096794,20.60143701651004,2,11,0
44250.184685326945,22.0,21.236202513269493,20.68443367187756,2,11,0
44251.184685326945,22.0,21.650201029752274,20.5204353666262,2,11,0
44252.184685326945,22.0,22.0,21.82710672290252,2,11,0
44253.184685326945,22.0,22.0,22.0,2,11,0
44254.184685326945,22.0,22.0,22.0,2,11,0
44255.184685326945,22.0,22.0,22.0,2,11,0
44256.184685326945,22.0,22.0,22.0,2,11,0
44257.184685326945,22.0,22.0,22.0,2,11,0
44258.184685326945,22.0,22.0,22.0,2,11,0
44259.184685326945,22.0,22.0,22.0,2,11,0
44260.184685326945,22.0,22.0,22.0,2,11,0
44261.184685326945,22.0,22.0,22.0,2,11,0
44262.184685326945,22.0,22.0,22.0,2,11,0
44263.184685326945,22.0,22.0,22.0,2,11,0
44264.184685326945,22.0,22.0,22.0,2,11,0
44265.184685326945,22.0,22.0,22.0,2,11,0
44266.184685326945,22.0,22.0,22.0,2,11,0
44267.184685326945,22.0,22.0,22.0,2,11,0
44268.0,22.0,22.0,22.0,2,11,0
44269.0,22.0,22.0,22.0,2,11,0
44270.0,22.0,22.0,22.0,2,11,0
44271.0,22.0,22.0,22.0,2,11,0
44240.0,22.0,22.0,22.0,3,8,0
44241.0,22.0,22.0,22.0,3,8,0
44242.0,22.0,22.0,22.0,3,8,0
44243.0,22.0,22.0,22.0,3,8,0
44244.0,22.0,22.0,22.0,3,8,0
44245.0,22.0,22.0,22.0,3,8,0
44246.0,22.0,22.0,22.0,3,8,0
44247.0,22.0,22.0,22.0,3,8,0
44247.16015032896,22.0,22.0,22.0,3,8,0
44248.16015032896,22.0,22.0,22.0,3,8,0
44249.16015032896,22.0,22.0,22.0,3,8,0
44250.16015032896,21.194483536929212,21.56285702166041,21.810955394104518,3,8,0
44251.16015032896,22.0,21.214672559055977,21.4297268481614,3,8,0
44252.16015032896,22.0,21.717935521672363,21.532267239707043,3,8,0
44253.16015032896,22.0,22.0,21.93273438548673,3,8,0
44254.16015032896,22.0,22.0,22.0,3,8,0
44255.16015032896,22.0,22.0,22.0,3,8,0
44256.16015032896,22.0,22.0,22.0,3,8,0
44257.16015032896,22.0,22.0,22.0,3,8,0
44258.16015032896,22.0,22.0,22.0,3,8,0
44259.16015032896,22.0,22.0,22.0,3,8,0
44260.16015032896,22.0,22.0,22.0,3,8,0
44261.16015032896,22.0,22.0,22.0,3,8,0
44262.16015032896,22.0,22.0,22.0,3,8,0
44263.16015032896,22.0,22.0,22.0,3,8,0
44264.16015032896,22.0,22.0,22.0,3,8,0
44265.16015032896,22.0,22.0,22.0,3,8,0
44266.16015032896,22.0,22.0,22.0,3,8,0
44267.16015032896,22.0,22.0,22.0,3,8,0
44268.16015032896,22.0,22.0,22.0,3,8,0
44269.16015032896,22.0,22.0,22.0,3,8,0
44270.0,22.0,22.0,22.0,3,8,0
44271.0,22.0,22.0,22.0,3,8,0
44240.0,22.0,22.0,22.0,4,16,0
44241.0,22.0,22.0,22.0,4,16,0
44242.0,22.0,22.0,22.0,4,16,0
44243.0,22.0,22.0,22.0,4,16,0
44244.0,22.0,22.0,22.0,4,16,0
44245.0,22.0,22.0,22.0,4,16,0
44246.0,22.0,22.0,22.0,4,16,0
44247.0,22.0,22.0,22.0,4,16,0
44247.893292965586,22.0,22.0,22.0,4,16,0
44248.893292965586,22.0,22.0,22.0,4,16,0
44249.893292965586,22.0,22.0,22.0,4,16,0
44250.893292965586,19.514098691075453,19.38517601746878,19.62141852937346,4,16,0
44251.893292965586,19.887556867739676,19.317387075666147,19.24440239459586,4,16,0
44252.893292965586,20.84489293891961,19.65616780537434,19.315846026133737,4,16,0
44253.893292965586,22.0,20.425448324838918,19.822675227041653,4,16,0
44254.893292965586,22.0,21.156934600472614,20.254717543574937,4,16,0
44255.893292965586,22.0,22.55559737072812,21.329933193188374,4,16,0
44256.893292965586,22.0,22.0,21.07636376970509,4,16,0
44257.893292965586,22.0,22.0,21.800978711528387,4,16,0
44258.893292965586,22.0,22.0,22.0,4,16,0
44259.893292965586,22.0,22.0,22.0,4,16,0
44260.893292965586,22.0,22.0,22.0,4,16,0
44261.893292965586,22.0,22.0,22.0,4,16,0
44262.893292965586,22.0,22.0,22.0,4,16,0
44263.893292965586,22.0,22.0,22.0,4,16,0
44264.893292965586,22.0,22.0,22.0,4,16,0
44265.893292965586,22.0,22.0,22.0,4,16,0
44266.893292965586,22.0,22.0,22.0,4,16,0
44267.893292965586,22.0,22.0,22.0,4,16,0
44268.893292965586,22.0,22.0,22.0,4,16,0
44269.893292965586,22.0,22.0,22.0,4,16,0
44270.0,22.0,22.0,22.0,4,16,0
44271.0,22.0,22.0,22.0,4,16,0
44240.0,22.0,22.0,22.0,5,6,0
44241.0,22.0,22.0,22.0,5,6,0
44242.0,22.0,22.0,22.0,5,6,0
44243.0,22.0,22.0,22.0,5,6,0
44244.0,22.0,22.0,22.0,5,6,0
44244.608171692424,22.0,22.0,22.0,5,6,0
44245.608171692424,22.0,22.0,22.0,5,6,0
44246.608171692424,22.0,22.0,22.0,5,6,0
44247.608171692424,21.910394574097317,21.737142163412482,22.147021200160914,5,6,0
44248.608171692424,22.0,21.306041123484544,21.18315836969759,5,6,0
44249.608171692424,22.0,22.063972924593994,21.257018641805153,5,6,0
44250.608171692424,22.0,22.0,21.61109132528988,5,6,0
44251.608171692424,22.0,22.0,22.0,5,6,0
44252.608171692424,22.0,22.0,22.0,5,6,0
44253.608171692424,22.0,22.0,22.0,5,6,0
44254.608171692424,22.0,22.0,22.0,5,6,0
44255.608171692424,22.0,22.0,22.0,5,6,0
44256.608171692424,22.0,22.0,22.0,5,6,0
44257.608171692424,22.0,22.0,22.0,5,6,0
44258.608171692424,22.0,22.0,22.0,5,6,0
44259.608171692424,22.0,22.0,22.0,5,6,0
44260.608171692424,22.0,22.0,22.0,5,6,0
44261.608171692424,22.0,22.0,22.0,5,6,0
44262.608171692424,22.0,22.0,22.0,5,6,0
44263.608171692424,22.0,22.0,22.0,5,6,0
44264.608171692424,22.0,22.0,22.0,5,6,0
44265.608171692424,22.0,22.0,22.0,5,6,0
44266.608171692424,22.0,22.0,22.0,5,6,0
44267.0,22.0,22.0,22.0,5,6,0
44268.0,22.0,22.0,22.0,5,6,0
44269.0,22.0,22.0,22.0,5,6,0
44270.0,22.0,22.0,22.0,5,6,0
44271.0,22.0,22.0,22.0,5,6,0
44240.0,22.0,22.0,22.0,6,15,0
44241.0,22.0,22.0,22.0,6,15,0
44242.0,22.0,22.0,22.0,6,15,0
44242.536785461285,22.0,22.0,22.0,6,15,0
44243.536785461285,22.0,22.0,22.0,6,15,0
44244.536785461285,22.0,22.0,22.0,6,15,0
44245.536785461285,19.351358218191013,19.467001868580397,19.82649346831244,6,15,0
44246.536785461285,19.971488710137574,19.1286311850721,19.43900348437942,6,15,0
44247.536785461285,21.041162657107144,19.852154879080118,19.408202359572016,6,15,0
44248.536785461285,22.0,20.41791890692417,19.911032747368843,6,15,0
44249.536785461285,22.0,21.072174925804628,20.441201467784268,6,15,0
44250.536785461285,22.0,22.0,20.51585454008615,6,15,0
44251.536785461285,22.0,22.0,21.003477487423336,6,15,0
44252.536785461285,22.0,22.0,22.097853410887883,6,15,0
44253.536785461285,22.0,22.0,22.0,6,15,0
44254.536785461285,22.0,22.0,22.0,6,15,0
44255.536785461285,22.0,22.0,22.0,6,15,0
44256.536785461285,22.0,22.0,22.0,6,15,0
44257.536785461285,22.0,22.0,22.0,6,15,0
44258.536785461285,22.0,22.0,22.0,6,15,0
44259.536785461285,22.0,22.0,22.0,6,15,0
44260.536785461285,22.0,22.0,22.0,6,15,0
44261.536785461285,22.0,22.0,22.0,6,15,0
44262.536785461285,22.0,22.0,22.0,6,15,0
44263.536785461285,22.0,22.0,22.0,6,15,0
44264.536785461285,22.0,22.0,22.0,6,15,0
44265.0,22.0,22.0,22.0,6,15,0
44266.0,22.0,22.0,22.0,6,15,0
44267.0,22.0,22.0,22.0,6,15,0
44268.0,22.0,22.0,22.0,6,15,0
44269.0,22.0,22.0,22.0,6,15,0
44270.0,22.0,22.0,22.0,6,15,0
44271.0,22.0,22.0,22.0,6,15,0
44240.0,22.0,22.0,22.0,7,15,0
44241.0,22.0,22.0,22.0,7,15,0
44242.0,22.0,22.0,22.0,7,15,0
44243.0,22.0,22.0,22.0,7,15,0
44244.0,22.0,22.0,22.0,7,15,0
44245.0,22.0,22.0,22.0,7,15,0
44246.0,22.0,22.0,22.0,7,15,0
44246.28180209362,22.0,22.0,22.0,7,15,0
